time,open,high,low,close,Volume,Volume MA
1577916000,0.84549,0.84676,0.84544,0.84629,372,NaN
1577919600,0.84629,0.84679,0.84605,0.8467,281,NaN
1577923200,0.8467,0.84684,0.84591,0.84622,485,NaN
1577926800,0.84622,0.84652,0.846,0.84647,498,NaN
1577930400,0.84647,0.84732,0.84642,0.84705,331,NaN
1577934000,0.84705,0.84927,0.847,0.84886,743,NaN
1577937600,0.84886,0.84921,0.84806,0.84811,517,NaN
1577941200,0.84811,0.84846,0.84782,0.84792,552,NaN
1577944800,0.84792,0.84846,0.84743,0.8477,589,NaN
1577948400,0.8477,0.84829,0.84712,0.84796,1279,NaN
1577952000,0.84796,0.84864,0.84732,0.84801,1281,NaN
1577955600,0.84801,0.84827,0.84758,0.8478,643,NaN
1577959200,0.8478,0.84804,0.84718,0.84764,594,NaN
1577962800,0.84764,0.84876,0.84734,0.84736,864,NaN
1577966400,0.84736,0.84848,0.84692,0.84814,766,NaN
1577970000,0.84814,0.84998,0.84812,0.8497,1103,NaN
1577973600,0.8497,0.85043,0.84947,0.84988,1313,NaN
1577977200,0.84988,0.84998,0.84746,0.8492,1561,NaN
1577980800,0.8492,0.85129,0.84906,0.8506,1514,NaN
1577984400,0.8506,0.85144,0.85036,0.85041,1125,820.55
1577988000,0.85041,0.85071,0.84984,0.8501,870,845.45
1577991600,0.8501,0.85062,0.84991,0.85049,727,867.75
1577995200,0.85049,0.85049,0.84972,0.85009,508,868.9
1577998800,0.85009,0.85058,0.85006,0.85054,204,854.2
1578002400,0.85054,0.85054,0.84966,0.85009,90,842.15
1578006000,0.85009,0.85034,0.84962,0.84968,209,815.45
1578009600,0.84968,0.85006,0.84942,0.84948,290,804.1
1578013200,0.84948,0.85067,0.84934,0.85048,393,796.15
1578016800,0.85048,0.8514,0.85032,0.85104,742,803.8
1578020400,0.85104,0.85108,0.85044,0.85046,428,761.25
1578024000,0.85046,0.85107,0.85038,0.851,282,711.3
1578027600,0.851,0.85128,0.85079,0.85102,484,703.35
1578031200,0.85102,0.85192,0.851,0.85104,449,696.1
1578034800,0.85104,0.8525,0.85104,0.85194,1457,725.75
1578038400,0.85194,0.85231,0.85045,0.85137,1549,764.9
1578042000,0.85137,0.85256,0.8511,0.85247,1615,790.5
1578045600,0.85247,0.85248,0.85078,0.85146,1410,795.35
1578049200,0.85146,0.85236,0.8511,0.85229,1074,771
1578052800,0.85229,0.8527,0.85152,0.85158,991,744.85
1578056400,0.85158,0.85208,0.85042,0.85204,965,736.85
1578060000,0.85204,0.85344,0.85144,0.85332,1209,753.8
1578063600,0.85332,0.85415,0.85255,0.854,1504,792.65
1578067200,0.854,0.85428,0.85306,0.8535,906,812.55
1578070800,0.8535,0.85412,0.85334,0.8536,658,835.25
1578074400,0.8536,0.85432,0.85344,0.85344,605,861
1578078000,0.85344,0.85398,0.85324,0.85386,601,880.6
1578081600,0.85386,0.85389,0.85358,0.85374,227,877.45
1578085200,0.85374,0.85382,0.85288,0.85304,384,877
1578261600,0.85304,0.85407,0.85304,0.85382,143,847.05
1578265200,0.85382,0.85428,0.85305,0.85342,477,849.5
1578268800,0.85342,0.85364,0.85318,0.85348,298,850.3
1578272400,0.85348,0.85374,0.85324,0.85348,239,838.05
1578276000,0.85348,0.85348,0.85306,0.85314,164,823.8
1578279600,0.85314,0.8537,0.85314,0.85353,217,761.8
1578283200,0.85353,0.85353,0.85302,0.85328,155,692.1
1578286800,0.85328,0.85342,0.85312,0.85332,171,619.9
1578290400,0.85332,0.85378,0.85303,0.85308,355,567.15
1578294000,0.85308,0.85422,0.85254,0.85402,1213,574.1
1578297600,0.85402,0.85448,0.85275,0.85296,1647,606.9
1578301200,0.85296,0.85312,0.85094,0.85162,2182,667.75
1578304800,0.85162,0.85176,0.85,0.85128,1932,703.9
1578308400,0.85128,0.85184,0.85046,0.85151,1304,693.9
1578312000,0.85151,0.85231,0.8511,0.8523,825,689.85
1578315600,0.8523,0.85246,0.85178,0.85214,860,699.95
1578319200,0.85214,0.85267,0.85066,0.85132,953,717.35
1578322800,0.85132,0.85152,0.8501,0.8503,959,735.25
1578326400,0.8503,0.85055,0.84927,0.84994,716,759.7
1578330000,0.84994,0.85077,0.84951,0.85071,533,767.15
1578333600,0.85071,0.85075,0.8503,0.85057,337,776.85
