time,open,high,low,close,Volume,Volume MA
1577919600,17.905,18.005,17.905,17.94,1585,NaN
1577923200,17.94,17.96,17.915,17.94,803,NaN
1577926800,17.94,17.965,17.87,17.885,5113,NaN
1577930400,17.885,17.925,17.83,17.92,2724,NaN
1577934000,17.92,17.935,17.895,17.91,668,NaN
1577937600,17.91,17.915,17.885,17.895,388,NaN
1577941200,17.895,17.92,17.885,17.905,1131,NaN
1577944800,17.905,17.93,17.895,17.92,1290,NaN
1577948400,17.92,17.925,17.895,17.895,1092,NaN
1577952000,17.9,17.95,17.885,17.945,2257,NaN
1577955600,17.945,17.975,17.935,17.945,1167,NaN
1577959200,17.945,17.96,17.925,17.96,823,NaN
1577962800,17.965,17.975,17.945,17.96,1193,NaN
1577966400,17.96,17.98,17.945,17.965,1737,NaN
1577970000,17.97,18.15,17.965,18.125,14352,NaN
1577973600,18.125,18.145,17.985,18,13246,NaN
1577977200,18,18.11,18,18.06,13760,NaN
1577980800,18.065,18.065,18.01,18.02,7240,NaN
1577984400,18.02,18.065,17.99,18.06,6042,NaN
1577988000,18.06,18.07,18.035,18.05,4289,4045
1577991600,18.045,18.06,18.025,18.055,1357,4033.6
1577995200,18.055,18.085,18.05,18.06,1652,4076.05
1577998800,18.06,18.075,18.06,18.075,337,3837.25
1578006000,18.07,18.08,18.055,18.08,502,3726.15
1578009600,18.08,18.105,18.075,18.1,1182,3751.85
1578013200,18.1,18.185,18.065,18.145,5903,4027.6
1578016800,18.145,18.215,18.115,18.16,7446,4343.35
1578020400,18.16,18.2,18.14,18.165,2353,4396.5
1578024000,18.165,18.18,18.155,18.18,650,4374.4
1578027600,18.175,18.31,18.165,18.25,7210,4622.05
1578031200,18.245,18.27,18.21,18.215,3533,4740.35
1578034800,18.22,18.325,18.215,18.31,3095,4853.95
1578038400,18.31,18.32,18.215,18.225,3796,4984.1
1578042000,18.225,18.295,18.225,18.23,3945,5094.5
1578045600,18.235,18.27,18.175,18.255,3425,4548.15
1578049200,18.25,18.26,18.215,18.235,2291,4000.4
1578052800,18.235,18.27,18.19,18.21,4404,3532.6
1578056400,18.21,18.23,18.085,18.13,13043,3822.75
1578060000,18.135,18.16,18.08,18.12,11317,4086.5
1578063600,18.125,18.195,18.125,18.155,12374,4490.75
1578067200,18.155,18.18,18.125,18.145,5779,4711.85
1578070800,18.145,18.15,18.125,18.15,3914,4824.95
1578074400,18.145,18.19,18.105,18.12,4791,5047.65
1578078000,18.12,18.135,18.04,18.07,3529,5199
1578081600,18.075,18.075,18.04,18.07,1644,5222.1
1578085200,18.07,18.095,18.055,18.095,531,4953.5
1578265200,18.17,18.345,18.17,18.215,6553,4908.85
1578268800,18.21,18.255,18.19,18.225,2872,4934.8
1578272400,18.225,18.55,18.225,18.505,14960,5650.3
1578276000,18.505,18.51,18.465,18.48,4539,5516.75
1578279600,18.475,18.51,18.46,18.485,1923,5436.25
1578283200,18.485,18.49,18.46,18.475,1166,5339.8
1578286800,18.475,18.495,18.41,18.45,3275,5313.75
1578290400,18.445,18.49,18.42,18.42,3886,5310.8
1578294000,18.425,18.425,18.36,18.385,2523,5265.7
1578297600,18.385,18.4,18.35,18.375,3118,5307.05
1578301200,18.38,18.43,18.36,18.4,2533,5213.5
1578304800,18.405,18.45,18.4,18.435,2004,4661.55
1578308400,18.43,18.465,18.41,18.455,1483,4169.85
1578312000,18.455,18.485,18.44,18.46,4265,3764.4
1578315600,18.46,18.495,18.36,18.4,12515,4101.2
1578319200,18.4,18.435,18.33,18.335,9745,4392.75
1578322800,18.335,18.37,18.045,18.12,28039,5555.15
1578326400,18.12,18.155,18.09,18.14,10765,5916.95
1578330000,18.14,18.15,18.115,18.14,4082,6038.85
1578333600,18.14,18.215,18.13,18.2,5757,6300.15
1578337200,18.2,18.205,18.15,18.16,1592,6052.1
1578340800,18.16,18.185,18.16,18.18,1098,5963.4
1578344400,18.185,18.19,18.175,18.18,481,5239.45
1578351600,18.185,18.19,18.14,18.15,704,5047.7
1578355200,18.15,18.17,18.14,18.155,763,4989.7
1578358800,18.155,18.155,17.975,18.02,9709,5416.85
1578362400,18.02,18.075,17.975,18.06,4206,5463.4
1578366000,18.055,18.09,18.05,18.06,1614,5349.8
1578369600,18.06,18.075,18.05,18.07,503,5248.8
1578373200,18.07,18.155,18.065,18.15,3103,5248.05
1578376800,18.15,18.25,18.145,18.185,6892,5466
1578380400,18.19,18.255,18.17,18.245,3121,5521.85
1578384000,18.24,18.245,18.14,18.14,3331,5614.25
1578387600,18.14,18.165,18.095,18.16,2716,5536.8
1578391200,18.16,18.175,18.135,18.145,1502,4986.15
1578394800,18.14,18.205,18.14,18.175,1659,4581.85
1578398400,18.175,18.205,18.085,18.12,3380,3348.9
1578402000,18.12,18.22,18.11,18.215,9771,3299.2
1578405600,18.21,18.265,18.18,18.215,10605,3625.35
1578409200,18.21,18.285,18.155,18.235,12270,3951
1578412800,18.24,18.35,18.24,18.33,9371,4339.95
1578416400,18.33,18.405,18.325,18.375,8083,4689.2
1578420000,18.38,18.44,18.35,18.43,6165,4973.4
1578423600,18.43,18.455,18.355,18.41,3576,5117
1578427200,18.41,18.43,18.37,18.405,1740,5165.85
1578430800,18.4,18.47,18.4,18.435,1479,4754.35
1578438000,18.45,18.65,18.41,18.615,6567,4872.4
1578441600,18.61,18.75,18.59,18.615,8591,5221.25
1578445200,18.615,18.895,18.545,18.63,22583,6325.25
1578448800,18.625,18.65,18.51,18.54,13610,6850.6
1578452400,18.535,18.645,18.53,18.54,6694,6840.7
1578456000,18.54,18.6,18.515,18.595,1747,6772
1578459600,18.595,18.665,18.57,18.63,3864,6798.65
1578463200,18.63,18.65,18.585,18.61,3230,6824.35
1578466800,18.61,18.61,18.51,18.545,3588,6928.65
1578470400,18.545,18.56,18.42,18.435,5933,7142.35
1578474000,18.435,18.48,18.4,18.47,3096,7128.15
1578477600,18.47,18.5,18.405,18.42,2669,6773.05
1578481200,18.42,18.465,18.375,18.41,2504,6368
1578484800,18.41,18.455,18.365,18.395,4632,5986.1
1578488400,18.4,18.4,18.205,18.37,16291,6332.1
1578492000,18.37,18.43,18.315,18.375,12732,6564.55
1578495600,18.375,18.395,18.315,18.365,7980,6655.3
1578499200,18.365,18.37,18.085,18.19,26809,7816.95
1578502800,18.19,18.25,18.16,18.22,8199,8139.9
1578506400,18.22,18.235,18.14,18.15,7286,8430.25
1578510000,18.15,18.15,18.085,18.095,2533,8228.55
1578513600,18.1,18.19,18.085,18.15,3466,7972.3
1578517200,18.155,18.16,18.115,18.13,842,6885.25
1578524400,18.12,18.185,18.115,18.15,858,6247.65
1578528000,18.155,18.175,18.115,18.175,1034,5964.65
1578531600,18.17,18.225,18.145,18.19,4515,6103.05
1578535200,18.19,18.205,18.145,18.17,2348,6027.25
1578538800,18.17,18.17,18.05,18.125,2852,6008.35
1578542400,18.125,18.135,18.095,18.12,807,5869.3
1578546000,18.115,18.13,17.88,17.925,7856,5965.45
1578549600,17.925,17.945,17.825,17.915,11321,6376.7
