time,open,high,low,close,Volume,Volume MA
1577919600,2.8035,2.807,2.801,2.8055,1363,NaN
1577923200,2.8055,2.8095,2.804,2.809,657,NaN
1577926800,2.809,2.8225,2.809,2.817,5880,NaN
1577930400,2.8165,2.8205,2.816,2.8195,1163,NaN
1577934000,2.8195,2.829,2.8195,2.8225,1873,NaN
1577937600,2.822,2.8225,2.8195,2.82,509,NaN
1577941200,2.8195,2.8245,2.8195,2.824,1420,NaN
1577944800,2.824,2.8255,2.821,2.8215,1466,NaN
1577948400,2.8215,2.8225,2.819,2.8205,865,NaN
1577952000,2.8205,2.8295,2.814,2.8215,3146,NaN
1577955600,2.822,2.825,2.816,2.818,1600,NaN
1577959200,2.8185,2.82,2.8155,2.8175,826,NaN
1577962800,2.8175,2.818,2.808,2.809,1955,NaN
1577966400,2.8095,2.811,2.807,2.8095,1546,NaN
1577970000,2.8095,2.813,2.798,2.8005,7314,NaN
1577973600,2.8005,2.8035,2.794,2.7995,5662,NaN
1577977200,2.7995,2.809,2.7965,2.8085,7056,NaN
1577980800,2.809,2.809,2.8,2.8045,3982,NaN
1577984400,2.8045,2.8265,2.802,2.826,10082,NaN
1577988000,2.8255,2.826,2.818,2.8185,1591,2997.8
1577991600,2.8185,2.8215,2.8185,2.819,454,2952.35
1577995200,2.819,2.822,2.8185,2.822,649,2951.95
1577998800,2.822,2.8245,2.8215,2.8235,457,2680.8
1578006000,2.825,2.8255,2.8185,2.819,588,2652.05
1578009600,2.819,2.8195,2.816,2.8165,472,2582
1578013200,2.8165,2.8195,2.8125,2.817,3946,2753.85
1578016800,2.817,2.8175,2.8065,2.808,3154,2840.55
1578020400,2.8075,2.8095,2.802,2.809,1751,2854.8
1578024000,2.8095,2.811,2.806,2.8075,920,2857.55
1578027600,2.807,2.8085,2.8025,2.8075,1364,2768.45
1578031200,2.807,2.807,2.7945,2.7955,3916,2884.25
1578034800,2.7955,2.797,2.7845,2.79,2308,2958.35
1578038400,2.7895,2.79,2.784,2.788,2075,2964.35
1578042000,2.7875,2.7915,2.7705,2.774,5013,3137.7
1578045600,2.774,2.774,2.766,2.767,3589,2951.45
1578049200,2.7665,2.767,2.7595,2.764,3170,2826.85
1578052800,2.7645,2.7735,2.7635,2.7715,3185,2633.3
1578056400,2.771,2.787,2.769,2.7865,8185,2843.45
1578060000,2.7865,2.797,2.784,2.794,6136,2646.15
1578063600,2.794,2.7945,2.7805,2.7825,7974,2965.3
1578067200,2.7825,2.785,2.779,2.781,3540,3119.6
1578070800,2.781,2.7895,2.7805,2.7875,4189,3296.6
1578074400,2.7875,2.7895,2.782,2.784,1967,3372.1
1578078000,2.784,2.785,2.78,2.782,769,3381.15
1578081600,2.782,2.7835,2.78,2.783,658,3390.45
1578085200,2.783,2.784,2.78,2.7805,330,3209.65
1578265200,2.765,2.7775,2.765,2.7705,1695,3136.7
1578268800,2.7715,2.7775,2.7705,2.777,653,3081.8
1578272400,2.7765,2.7955,2.7765,2.79,5701,3320.85
1578276000,2.79,2.792,2.787,2.788,2143,3359.8
1578279600,2.7875,2.791,2.787,2.7885,1135,3220.75
1578283200,2.788,2.79,2.7875,2.79,350,3122.85
1578286800,2.7905,2.791,2.7855,2.789,1218,3080
1578290400,2.789,2.7925,2.778,2.779,3164,2987.55
1578294000,2.7795,2.7805,2.7735,2.7775,1422,2879.2
1578297600,2.778,2.781,2.7645,2.767,2665,2853.95
1578301200,2.767,2.773,2.765,2.773,1864,2787.9
1578304800,2.7725,2.774,2.771,2.7725,1261,2441.7
1578308400,2.7725,2.777,2.7715,2.774,1717,2220.75
1578312000,2.774,2.7775,2.7725,2.777,2001,1922.1
1578315600,2.7775,2.7835,2.7765,2.7795,4413,1965.75
1578319200,2.7795,2.7795,2.774,2.7775,4216,1967.1
1578322800,2.7775,2.7785,2.7745,2.7765,4066,2072.05
1578326400,2.777,2.784,2.775,2.7835,3841,2225.65
1578330000,2.7835,2.791,2.783,2.789,4873,2436.4
1578333600,2.7895,2.79,2.786,2.7865,1525,2496.15
1578337200,2.7865,2.788,2.786,2.787,433,2433.05
1578340800,2.7865,2.7885,2.7865,2.7885,530,2426.9
1578344400,2.789,2.7915,2.788,2.789,751,2179.4
1578351600,2.789,2.7895,2.787,2.7875,365,2090.5
1578355200,2.7875,2.791,2.7875,2.789,399,2053.7
1578358800,2.789,2.7995,2.7885,2.7945,3425,2207.45
1578362400,2.7945,2.7975,2.791,2.7935,1867,2239.9
1578366000,2.794,2.804,2.7925,2.8015,2071,2185.25
1578369600,2.8015,2.8015,2.7975,2.798,703,2149.3
1578373200,2.798,2.802,2.796,2.799,1387,2085.4
1578376800,2.799,2.803,2.7985,2.8025,1814,2082.9
1578380400,2.8025,2.8025,2.7905,2.7915,1572,2098.45
1578384000,2.7915,2.799,2.7865,2.798,2747,2149.95
1578387600,2.798,2.798,2.791,2.793,1510,2125.4
1578391200,2.793,2.7965,2.791,2.7945,1430,1976.25
1578394800,2.794,2.795,2.7915,2.7925,924,1811.65
1578398400,2.793,2.796,2.792,2.7955,1965,1706.6
1578402000,2.7955,2.7985,2.7855,2.7875,7853,1907.2
1578405600,2.787,2.791,2.7845,2.787,4649,1896
1578409200,2.7875,2.793,2.781,2.7815,5164,2077.95
1578412800,2.781,2.788,2.78,2.787,4058,2259.2
1578416400,2.787,2.7945,2.7865,2.7935,4586,2462
1578420000,2.794,2.797,2.793,2.7965,1368,2492.85
1578423600,2.7965,2.7975,2.7955,2.797,640,2506.6
1578427200,2.7975,2.799,2.796,2.7965,428,2508.05
1578430800,2.797,2.7975,2.794,2.7955,442,2358.9
1578438000,2.7955,2.796,2.772,2.7805,3150,2423.05
1578441600,2.7805,2.784,2.763,2.7715,3299,2484.45
1578445200,2.7715,2.7915,2.771,2.7875,5487,2723.65
1578448800,2.7875,2.796,2.786,2.7945,4137,2861.15
1578452400,2.794,2.806,2.7935,2.7995,3485,2944.7
1578456000,2.7995,2.8005,2.7985,2.7985,431,2887.65
1578459600,2.7985,2.7995,2.79,2.7915,1495,2825.05
1578463200,2.7915,2.7995,2.7915,2.797,1862,2842.65
1578466800,2.797,2.8095,2.797,2.803,2799,2911.1
1578470400,2.8025,2.8085,2.796,2.801,2456,2987.7
1578474000,2.8005,2.802,2.796,2.799,1156,2947.25
1578477600,2.7995,2.802,2.797,2.8005,1006,2604.9
1578481200,2.8005,2.804,2.7985,2.8025,1153,2430.1
1578484800,2.8025,2.8045,2.7995,2.802,2356,2289.7
1578488400,2.802,2.812,2.7935,2.7985,6500,2411.8
1578492000,2.799,2.804,2.7945,2.8015,3490,2357
1578495600,2.8015,2.804,2.789,2.7945,5520,2564.6
1578499200,2.795,2.8075,2.789,2.8035,7272,2896.2
1578502800,2.804,2.814,2.7975,2.81,7972,3273.4
1578506400,2.81,2.812,2.808,2.8095,2004,3351.5
1578510000,2.8095,2.811,2.809,2.81,637,3225.85
1578513600,2.81,2.812,2.806,2.807,713,3096.55
1578517200,2.807,2.8095,2.8065,2.809,451,2844.75
1578524400,2.808,2.8125,2.808,2.8115,498,2662.8
1578528000,2.812,2.8135,2.8105,2.8115,502,2513.65
1578531600,2.8115,2.817,2.8105,2.8165,3492,2666.7
1578535200,2.8165,2.818,2.812,2.814,1263,2655.1
1578538800,2.814,2.8145,2.8095,2.8135,1234,2623.7
1578542400,2.813,2.816,2.813,2.8155,670,2517.25
1578546000,2.816,2.817,2.8125,2.8135,1322,2460.55
1578549600,2.8135,2.8145,2.8075,2.812,2146,2510.05
1578553200,2.812,2.819,2.811,2.819,1595,2539.5
1578556800,2.819,2.819,2.8075,2.8085,2101,2586.9
1578560400,2.8085,2.809,2.8055,2.8085,1278,2533
1578564000,2.808,2.811,2.806,2.811,1280,2272
1578567600,2.811,2.813,2.8105,2.811,760,2135.5
1578571200,2.8115,2.8115,2.8065,2.8075,2243,1971.65
1578574800,2.8075,2.808,2.7995,2.8065,5131,1864.6
1578578400,2.807,2.813,2.8015,2.813,3367,1634.35
1578582000,2.813,2.8145,2.809,2.81,4401,1754.2
1578585600,2.8095,2.811,2.802,2.803,5141,1979.4
1578589200,2.8035,2.804,2.8,2.8015,4146,2151.05
1578592800,2.8015,2.802,2.7955,2.7965,2300,2243.5
1578596400,2.7965,2.799,2.796,2.799,779,2257.55
1578600000,2.7985,2.7995,2.798,2.7985,413,2253.1
1578603600,2.799,2.7995,2.7975,2.7985,304,2093.7
1578610800,2.8,2.801,2.7985,2.8005,262,2043.65
1578614400,2.8005,2.803,2.7995,2.802,487,2006.3
1578618000,2.8015,2.805,2.7995,2.8025,2637,2104.65
1578621600,2.8025,2.8045,2.8,2.8045,1212,2099.15
1578625200,2.804,2.805,2.8025,2.8025,585,2021.1
1578628800,2.8025,2.804,2.8025,2.803,247,1953.7
1578632400,2.803,2.8075,2.8025,2.8075,743,1885.8
1578636000,2.808,2.812,2.8075,2.8105,2056,1924.7
1578639600,2.81,2.812,2.8065,2.808,802,1900.8
1578643200,2.8085,2.812,2.803,2.804,1468,1936.2
1578646800,2.804,2.808,2.8025,2.8075,831,1865.6
1578650400,2.8075,2.809,2.805,2.806,578,1637.95
1578654000,2.8065,2.808,2.8045,2.8045,599,1499.55
1578657600,2.805,2.8075,2.803,2.8055,1437,1351.35
1578661200,2.8055,2.8115,2.7975,2.8005,5670,1377.8
1578664800,2.8005,2.8045,2.7955,2.8035,3948,1367.9
1578668400,2.8035,2.8265,2.8015,2.825,8954,1700.6
1578672000,2.825,2.836,2.8105,2.812,9817,2152.5
1578675600,2.8115,2.8155,2.8005,2.812,7984,2531.05
1578679200,2.8125,2.8185,2.8125,2.816,2033,2617.5
1578682800,2.8155,2.8165,2.813,2.8135,664,2637.6
1578686400,2.813,2.813,2.809,2.8115,463,2636.4
1578690000,2.811,2.812,2.809,2.81,337,2521.4
1578870000,2.8055,2.8155,2.8055,2.813,829,2502.25
1578873600,2.8125,2.8145,2.811,2.814,301,2488.05
1578877200,2.814,2.8175,2.811,2.8115,1677,2559.55
1578880800,2.811,2.818,2.8095,2.8175,1209,2582.85
1578884400,2.818,2.822,2.8175,2.8215,1443,2552.2
1578888000,2.822,2.8265,2.822,2.8245,922,2558.2
1578891600,2.8245,2.826,2.821,2.824,1098,2539.7
1578895200,2.824,2.828,2.8225,2.824,1313,2563.8
1578898800,2.824,2.8255,2.815,2.818,1158,2592.8
1578902400,2.8175,2.824,2.812,2.8235,1636,2644.65
1578906000,2.824,2.824,2.814,2.815,1232,2634.4
1578909600,2.8145,2.8165,2.812,2.8165,968,2399.3
1578913200,2.8165,2.8165,2.811,2.812,708,2237.3
1578916800,2.812,2.8185,2.8115,2.818,1908,1885
1578920400,2.8185,2.832,2.8155,2.83,6063,1697.3
1578924000,2.8305,2.8465,2.828,2.8455,9958,1796
1578927600,2.846,2.861,2.8435,2.8585,12376,2313.15
1578931200,2.8585,2.8605,2.853,2.8595,7364,2648.15
1578934800,2.859,2.862,2.855,2.861,5855,2917.75
1578938400,2.8615,2.864,2.858,2.86,2690,3035.4
1578942000,2.86,2.861,2.8585,2.8585,752,3031.55
1578945600,2.8585,2.8585,2.854,2.856,778,3055.4
1578949200,2.856,2.857,2.854,2.8555,601,3001.6
1578956400,2.856,2.8575,2.8535,2.856,534,2967.85
1578960000,2.856,2.8615,2.856,2.86,656,2928.5
1578963600,2.8605,2.862,2.852,2.856,4518,3108.3
1578967200,2.856,2.8585,2.8515,2.8555,2894,3198.1
1578970800,2.855,2.8605,2.855,2.855,1690,3216.95
1578974400,2.8545,2.8565,2.854,2.8545,443,3181.2
1578978000,2.8545,2.855,2.8495,2.851,1378,3168.3
1578981600,2.851,2.86,2.851,2.8575,1806,3197
