time,open,high,low,close,Volume,Volume MA
1577916000,0.9677,0.96887,0.96623,0.96773,117,NaN
1577919600,0.96773,0.96784,0.96663,0.9678,82,NaN
1577923200,0.9678,0.96843,0.96776,0.96829,82,NaN
1577926800,0.96829,0.96832,0.96772,0.96797,88,NaN
1577930400,0.96797,0.96842,0.96778,0.96799,73,NaN
1577934000,0.96799,0.96888,0.9679,0.9688,93,NaN
1577937600,0.9688,0.97006,0.96874,0.96992,101,NaN
1577941200,0.96992,0.97039,0.96992,0.97022,114,NaN
1577944800,0.97022,0.97074,0.97006,0.9702,125,NaN
1577948400,0.9702,0.97059,0.96986,0.97001,202,NaN
1577952000,0.97001,0.97034,0.9689,0.9689,342,NaN
1577955600,0.9689,0.96961,0.96818,0.96958,283,NaN
1577959200,0.96958,0.97006,0.96912,0.96988,300,NaN
1577962800,0.96988,0.97105,0.96976,0.97097,284,NaN
1577966400,0.97097,0.97122,0.97042,0.97108,230,NaN
1577970000,0.97108,0.97115,0.97022,0.9703,318,NaN
1577973600,0.9703,0.97138,0.97026,0.97126,408,NaN
1577977200,0.97126,0.97128,0.96904,0.96918,573,NaN
1577980800,0.96918,0.97226,0.96896,0.9722,460,NaN
1577984400,0.9722,0.97328,0.97218,0.97284,316,229.55
1577988000,0.97284,0.97311,0.97223,0.97229,233,235.35
1577991600,0.97229,0.9728,0.97224,0.97232,161,239.3
1577995200,0.97232,0.97242,0.97112,0.97144,140,242.2
1577998800,0.97144,0.97154,0.97108,0.97146,74,241.5
1578002400,0.97146,0.97175,0.97126,0.9716,29,239.3
1578006000,0.9716,0.97162,0.97115,0.97152,116,240.45
1578009600,0.97152,0.97162,0.97114,0.97114,60,238.4
1578013200,0.97114,0.97124,0.9699,0.97022,127,239.05
1578016800,0.97022,0.97026,0.96884,0.9694,235,244.55
1578020400,0.9694,0.96979,0.96928,0.96971,124,240.65
1578024000,0.96971,0.97025,0.96952,0.97014,86,227.85
1578027600,0.97014,0.97105,0.97006,0.97074,163,221.85
1578031200,0.97074,0.97096,0.97028,0.97068,139,213.8
1578034800,0.97068,0.97171,0.97016,0.97098,575,228.35
1578038400,0.97098,0.97246,0.97052,0.9721,487,241.2
1578042000,0.9721,0.97348,0.97192,0.97348,495,250.05
1578045600,0.97348,0.97438,0.97337,0.97354,362,247.75
1578049200,0.97354,0.97405,0.97335,0.97362,273,232.75
1578052800,0.97362,0.97392,0.97232,0.97266,268,223.15
1578056400,0.97266,0.97328,0.97239,0.97304,356,225.15
1578060000,0.97304,0.97342,0.9725,0.97302,485,237.75
1578063600,0.97302,0.97302,0.97031,0.9707,947,277.05
1578067200,0.9707,0.9714,0.97019,0.97035,393,289.7
1578070800,0.97035,0.9709,0.97029,0.9708,193,295.65
1578074400,0.9708,0.97244,0.9708,0.97223,409,314.65
1578078000,0.97223,0.97257,0.97164,0.97164,309,324.3
1578081600,0.97164,0.97236,0.97164,0.97222,137,328.15
1578085200,0.97222,0.97256,0.97198,0.97249,73,325.45
1578261600,0.97249,0.97249,0.97053,0.97126,406,334
1578265200,0.97126,0.97158,0.97072,0.97158,313,343.45
1578268800,0.97158,0.97168,0.97081,0.97154,232,350.75
1578272400,0.97154,0.97157,0.97095,0.97118,190,352.1
1578276000,0.97118,0.97122,0.9708,0.97104,134,351.85
1578279600,0.97104,0.97118,0.9705,0.97118,96,327.9
1578283200,0.97118,0.97147,0.97103,0.9713,110,309.05
1578286800,0.9713,0.97136,0.97101,0.9713,48,286.7
1578290400,0.9713,0.97135,0.9707,0.97114,170,277.1
1578294000,0.97114,0.97158,0.9709,0.97133,275,277.2
1578297600,0.97133,0.9716,0.96991,0.9701,350,281.3
1578301200,0.9701,0.97022,0.96898,0.96899,352,281.1
1578304800,0.96899,0.96932,0.96846,0.9691,273,270.5
1578308400,0.9691,0.96927,0.96865,0.96907,314,238.85
1578312000,0.96907,0.96984,0.96907,0.96956,188,228.6
1578315600,0.96956,0.96978,0.9689,0.96962,413,239.6
1578319200,0.96962,0.97058,0.96924,0.97051,349,236.6
1578322800,0.97051,0.97056,0.96853,0.96873,552,248.75
1578326400,0.96873,0.96952,0.96867,0.96888,306,257.2
1578330000,0.96888,0.96899,0.96774,0.96824,215,264.3
1578333600,0.96824,0.96871,0.96786,0.96871,116,249.8
1578337200,0.96871,0.9693,0.96863,0.96882,144,241.35
1578340800,0.96882,0.96908,0.96867,0.96873,115,235.5
1578344400,0.96873,0.96876,0.96766,0.96793,86,230.3
1578348000,0.96793,0.96868,0.96793,0.96838,298,238.5
1578351600,0.96838,0.96856,0.96792,0.96856,111,239.25
1578355200,0.96856,0.96914,0.96836,0.96897,131,240.3
1578358800,0.96897,0.96904,0.96854,0.96887,127,244.25
1578362400,0.96887,0.96918,0.96868,0.96918,60,238.75
1578366000,0.96918,0.9693,0.96894,0.96928,74,228.7
1578369600,0.96928,0.96931,0.96903,0.96928,82,215.3
1578373200,0.96928,0.9695,0.96911,0.9695,95,202.45
1578376800,0.9695,0.97034,0.96924,0.97034,247,201.15
1578380400,0.97034,0.97046,0.96945,0.96982,425,206.7
1578384000,0.96982,0.97016,0.96857,0.96914,411,217.85
1578387600,0.96914,0.97098,0.96894,0.97094,369,215.65
1578391200,0.97094,0.97168,0.97046,0.97104,444,220.4
1578394800,0.97104,0.9713,0.97014,0.97036,319,208.75
1578398400,0.97036,0.97104,0.97022,0.97074,277,207.3
1578402000,0.97074,0.97148,0.97042,0.9714,500,221.55
1578405600,0.9714,0.97194,0.97042,0.97173,505,241
1578409200,0.97173,0.97296,0.97124,0.97192,730,270.3
1578412800,0.97192,0.97219,0.97151,0.97164,320,280.55
1578416400,0.97164,0.97164,0.96971,0.97062,275,290
1578420000,0.97062,0.9714,0.9706,0.9714,116,280.9
1578423600,0.9714,0.97152,0.9708,0.97083,141,282.4
1578427200,0.97083,0.97114,0.97083,0.97105,81,279.9
1578430800,0.97105,0.97118,0.96996,0.97027,147,280.9
1578434400,0.97027,0.97092,0.9702,0.97082,30,279.4
1578438000,0.97082,0.97082,0.96854,0.96876,432,297.3
1578441600,0.96876,0.96896,0.96652,0.96713,1021,344.25
