time,open,high,low,close,Volume,Volume MA
1577916000,1.29904,1.29912,1.2983,1.29866,45,NaN
1577919600,1.29866,1.29866,1.29753,1.29765,174,NaN
1577923200,1.29765,1.29789,1.2975,1.29776,189,NaN
1577926800,1.29776,1.29776,1.29727,1.29737,262,NaN
1577930400,1.29737,1.29798,1.2971,1.29798,233,NaN
1577934000,1.29798,1.29878,1.2979,1.29873,192,NaN
1577937600,1.29873,1.29926,1.29856,1.29924,106,NaN
1577941200,1.29924,1.29958,1.2989,1.29893,213,NaN
1577944800,1.29893,1.29893,1.2984,1.29856,170,NaN
1577948400,1.29856,1.29924,1.29802,1.29866,509,NaN
1577952000,1.29866,1.29872,1.29712,1.29731,756,NaN
1577955600,1.29731,1.29836,1.2969,1.29813,561,NaN
1577959200,1.29813,1.29955,1.29804,1.29922,427,NaN
1577962800,1.29922,1.30083,1.29915,1.30043,610,NaN
1577966400,1.30043,1.30082,1.29905,1.29924,826,NaN
1577970000,1.29924,1.30052,1.29888,1.29933,1196,NaN
1577973600,1.29933,1.30066,1.29921,1.29975,1492,NaN
1577977200,1.29975,1.29992,1.29786,1.2979,1446,NaN
1577980800,1.2979,1.30044,1.29758,1.29986,1057,NaN
1577984400,1.29986,1.30043,1.29927,1.29967,703,558.35
1577988000,1.29967,1.29994,1.2991,1.29914,538,583
1577991600,1.29914,1.29946,1.2985,1.29906,553,601.95
1577995200,1.29906,1.29916,1.29856,1.29874,460,615.5
1577998800,1.29874,1.29904,1.29842,1.29858,254,615.1
1578002400,1.29858,1.29862,1.29808,1.29848,99,608.4
1578006000,1.29848,1.29864,1.29844,1.29844,57,601.65
1578009600,1.29844,1.2987,1.29828,1.2984,159,604.3
1578013200,1.2984,1.29854,1.29778,1.29828,449,616.1
1578016800,1.29828,1.29894,1.29757,1.29889,865,650.85
1578020400,1.29889,1.29992,1.29887,1.29935,460,648.4
1578024000,1.29935,1.29963,1.29895,1.29936,250,623.1
1578027600,1.29936,1.29993,1.29933,1.29951,388,614.45
1578031200,1.29951,1.29963,1.29852,1.29868,218,604
1578034800,1.29868,1.29966,1.2963,1.29642,1451,646.05
1578038400,1.29642,1.29842,1.29614,1.29719,1392,674.35
1578042000,1.29719,1.29869,1.29705,1.29839,1023,665.7
1578045600,1.29839,1.29899,1.29808,1.29875,810,631.6
1578049200,1.29875,1.30052,1.29858,1.30026,895,604.05
1578052800,1.30026,1.30053,1.29914,1.29934,774,589.9
1578056400,1.29934,1.29956,1.29728,1.29912,1104,609.95
1578060000,1.29912,1.29964,1.29822,1.29927,1092,637.65
1578063600,1.29927,1.2997,1.298,1.2982,1438,681.9
1578067200,1.2982,1.29874,1.29765,1.29856,923,705.05
1578070800,1.29856,1.29934,1.29828,1.29845,604,722.55
1578074400,1.29845,1.2995,1.29845,1.2991,760,755.6
1578078000,1.2991,1.29988,1.2991,1.29917,673,786.4
1578081600,1.29917,1.29966,1.2989,1.29892,444,800.65
1578085200,1.29892,1.30082,1.29862,1.30024,488,802.6
1578261600,1.30024,1.30024,1.29879,1.29887,13,760
1578265200,1.29887,1.29903,1.29859,1.29895,299,751.95
1578268800,1.29895,1.29898,1.2977,1.29798,509,764.9
1578272400,1.29798,1.2982,1.2978,1.29813,298,760.4
1578276000,1.29813,1.2983,1.29778,1.29786,155,757.25
1578279600,1.29786,1.298,1.29768,1.29783,150,692.2
1578283200,1.29783,1.29794,1.29756,1.2976,112,628.2
1578286800,1.2976,1.29792,1.2976,1.2977,73,580.7
1578290400,1.2977,1.2981,1.29754,1.29782,144,547.4
1578294000,1.29782,1.29842,1.29776,1.29802,552,530.25
1578297600,1.29802,1.29876,1.2978,1.298,881,535.6
1578301200,1.298,1.29804,1.29645,1.29672,626,511.7
1578304800,1.29672,1.29718,1.29644,1.29712,460,480.1
1578308400,1.29712,1.2975,1.29648,1.2974,600,438.2
1578312000,1.2974,1.29781,1.29668,1.29687,564,420.25
1578315600,1.29687,1.29807,1.29684,1.29709,1058,442.95
1578319200,1.29709,1.29899,1.29706,1.29895,1289,469.4
1578322800,1.29895,1.29896,1.29728,1.29734,898,480.65
1578326400,1.29734,1.29766,1.29646,1.29652,598,488.35
