time,open,high,low,close,Volume,Volume MA
1577919600,2.184,2.185,2.171,2.179,925,NaN
1577923200,2.179,2.183,2.165,2.167,740,NaN
1577926800,2.168,2.176,2.167,2.173,555,NaN
1577930400,2.173,2.175,2.17,2.17,330,NaN
1577934000,2.171,2.171,2.168,2.17,482,NaN
1577937600,2.171,2.172,2.169,2.171,529,NaN
1577941200,2.17,2.174,2.157,2.164,1627,NaN
1577944800,2.165,2.168,2.16,2.162,614,NaN
1577948400,2.162,2.166,2.153,2.161,1531,NaN
1577952000,2.161,2.165,2.158,2.165,701,NaN
1577955600,2.164,2.169,2.163,2.166,675,NaN
1577959200,2.166,2.168,2.162,2.164,651,NaN
1577962800,2.164,2.187,2.164,2.183,2763,NaN
1577966400,2.182,2.188,2.178,2.183,1735,NaN
1577970000,2.182,2.183,2.167,2.169,3353,NaN
1577973600,2.169,2.17,2.147,2.15,17297,NaN
1577977200,2.151,2.154,2.123,2.128,23443,NaN
1577980800,2.129,2.135,2.119,2.132,21675,NaN
1577984400,2.132,2.139,2.124,2.128,10359,NaN
1577988000,2.128,2.133,2.116,2.131,11895,5094
1577991600,2.131,2.136,2.119,2.13,19128,6004.15
1577995200,2.13,2.134,2.129,2.13,3304,6132.35
1577998800,2.13,2.132,2.125,2.13,2037,6206.45
1578006000,2.129,2.135,2.128,2.133,767,6228.3
1578009600,2.135,2.139,2.134,2.136,402,6224.3
1578013200,2.135,2.137,2.13,2.131,538,6224.75
1578016800,2.131,2.132,2.124,2.132,892,6188
1578020400,2.132,2.135,2.131,2.133,580,6186.3
1578024000,2.133,2.144,2.132,2.136,876,6153.55
1578027600,2.136,2.137,2.126,2.132,905,6163.75
1578031200,2.132,2.14,2.13,2.136,627,6161.35
1578034800,2.136,2.137,2.127,2.13,1183,6187.95
1578038400,2.13,2.131,2.12,2.126,1096,6104.6
1578042000,2.126,2.129,2.112,2.115,1770,6106.35
1578045600,2.115,2.12,2.083,2.094,4553,6166.35
1578049200,2.094,2.113,2.093,2.108,2266,5414.8
1578052800,2.108,2.136,2.108,2.132,3136,4399.45
1578056400,2.132,2.143,2.121,2.139,8075,3719.45
1578060000,2.14,2.145,2.115,2.127,14476,3925.3
1578063600,2.127,2.145,2.116,2.141,15745,4117.8
1578067200,2.141,2.163,2.137,2.146,18178,4070.3
1578070800,2.147,2.15,2.123,2.126,10672,4438.7
1578074400,2.126,2.134,2.118,2.123,7108,4692.25
1578078000,2.124,2.133,2.117,2.124,12823,5295.05
1578081600,2.124,2.128,2.119,2.12,3338,5441.85
1578085200,2.12,2.122,2.113,2.114,1667,5498.3
1578265200,2.112,2.125,2.099,2.123,1768,5542.1
1578268800,2.123,2.133,2.122,2.128,643,5545.25
1578272400,2.129,2.132,2.127,2.129,484,5525.65
1578276000,2.129,2.136,2.127,2.134,522,5506.5
1578279600,2.134,2.136,2.133,2.135,443,5497.3
1578283200,2.134,2.15,2.13,2.146,1318,5504.05
1578286800,2.146,2.147,2.134,2.142,1028,5500.65
1578290400,2.141,2.141,2.132,2.141,593,5441.8
1578294000,2.14,2.141,2.125,2.132,1796,5303.95
1578297600,2.132,2.147,2.132,2.146,798,5230.55
1578301200,2.146,2.148,2.139,2.146,713,5109.4
1578304800,2.145,2.148,2.138,2.138,628,4737.05
1578308400,2.137,2.148,2.135,2.145,1282,4077.35
1578312000,2.144,2.162,2.142,2.159,3784,3479.3
1578315600,2.159,2.173,2.143,2.15,9445,3042.65
1578319200,2.151,2.16,2.139,2.149,15874,3302.75
1578322800,2.149,2.151,2.127,2.131,12858,3590.25
1578326400,2.13,2.131,2.113,2.125,15375,3717.85
1578330000,2.124,2.144,2.123,2.136,11251,4113.5
1578333600,2.137,2.137,2.119,2.123,6486,4354.45
1578337200,2.123,2.147,2.122,2.147,12526,4892.35
1578340800,2.146,2.152,2.143,2.15,3297,5025.05
1578344400,2.149,2.155,2.149,2.149,1594,5080.55
1578351600,2.149,2.158,2.149,2.153,659,5087.4
1578355200,2.154,2.155,2.15,2.15,293,5079.9
1578358800,2.15,2.153,2.15,2.151,406,5034.3
1578362400,2.151,2.154,2.151,2.152,206,4993.2
1578366000,2.152,2.153,2.152,2.152,192,4973.15
1578369600,2.153,2.156,2.148,2.151,813,4924
1578373200,2.151,2.152,2.132,2.133,2196,4993.9
1578376800,2.132,2.137,2.128,2.132,1148,5015.65
1578380400,2.132,2.132,2.111,2.118,4470,5207.75
1578384000,2.118,2.125,2.113,2.122,981,5192.7
1578387600,2.123,2.127,2.122,2.123,677,5037.35
1578391200,2.123,2.126,2.117,2.123,1170,4623.6
1578394800,2.124,2.127,2.107,2.114,2307,3945.25
1578398400,2.116,2.118,2.102,2.117,3542,3479.45
1578402000,2.117,2.139,2.112,2.139,4989,2960.15
1578405600,2.139,2.152,2.13,2.137,13399,3067.55
1578409200,2.138,2.146,2.136,2.141,8462,3166.35
1578412800,2.14,2.164,2.139,2.157,20222,3551.15
1578416400,2.157,2.164,2.151,2.163,9104,3841.5
1578420000,2.162,2.178,2.156,2.163,12375,4380.55
1578423600,2.164,2.176,2.155,2.155,20035,5349.35
1578427200,2.155,2.16,2.151,2.153,2342,5451.8
1578430800,2.153,2.156,2.151,2.154,1217,5492.35
1578438000,2.153,2.156,2.135,2.149,1271,5545.6
